order_id,date_id,product_id,store_id,quantity,order_amount
O00001,20260201,P102,S04,2,60
O00002,20260618,P102,S02,5,150
O00003,20260107,P102,S01,3,90
O00004,20260723,P102,S03,3,90
O00005,20260505,P202,S05,4,720
O00006,20260226,P101,S05,1,45
O00007,20260426,P201,S04,2,240
O00008,20261102,P102,S04,2,60
O00009,20261022,P202,S05,4,720
O00010,20260414,P102,S02,5,150
O00011,20261230,P201,S01,3,360
O00012,20260821,P201,S02,5,600
O00013,20260409,P201,S02,5,600
O00014,20260104,P101,S05,4,180
O00015,20261208,P201,S02,4,480
O00016,20261031,P101,S01,2,90
O00017,20260107,P201,S04,4,480
O00018,20260519,P202,S01,3,540
O00019,20260530,P202,S01,4,720
O00020,20260216,P201,S02,1,120
O00021,20260712,P202,S05,2,360
O00022,20260117,P202,S05,2,360
O00023,20261026,P202,S03,4,720
O00024,20261017,P201,S04,5,600
O00025,20260417,P102,S04,4,120
O00026,20261005,P102,S04,2,60
O00027,20260708,P202,S04,2,360
O00028,20260228,P102,S01,4,120
O00029,20260805,P201,S02,1,120
O00030,20261201,P202,S05,4,720
O00031,20260305,P202,S01,1,180
O00032,20260712,P102,S04,4,120
O00033,20260305,P102,S02,3,90
O00034,20260502,P102,S05,2,60
O00035,20260817,P202,S02,2,360
O00036,20261214,P202,S04,5,900
O00037,20260103,P102,S01,2,60
O00038,20261005,P102,S02,4,120
O00039,20261004,P201,S03,3,360
O00040,20261029,P201,S03,3,360
O00041,20260801,P202,S03,4,720
O00042,20260421,P101,S02,4,180
O00043,20260120,P101,S03,1,45
O00044,20260316,P201,S02,5,600
O00045,20260128,P102,S04,1,30
O00046,20260509,P202,S03,4,720
O00047,20260515,P102,S02,5,150
O00048,20260209,P201,S03,2,240
O00049,20261211,P202,S02,4,720
O00050,20260823,P102,S05,4,120
O00051,20260924,P101,S04,2,90
O00052,20261109,P201,S05,2,240
O00053,20260504,P201,S02,3,360
O00054,20261205,P202,S04,4,720
O00055,20260428,P202,S01,1,180
